id,recipe_name,meal_type,dietary_category,ingredients,equipment_needed,nutritional_information,instructions,allergens,prep_time_minutes
0,Avocado Toast,Dinner,Paleo,"egg, salmon, mushroom, quinoa, carrot","Microwave, Blender","684 kcal, Protein: 23.4g, Carbs: 73.9g, Fats: 22.1g",1. Sauté ingredients on Blender. 2. Add seasoning and cook thoroughly. 3. Serve warm and enjoy.,"Soy, Dairy",30
1,Smoothie Bowl,Lunch,Keto,"rice, egg, tofu, tomato, salmon","Instant Pot, Oven","336 kcal, Protein: 19.0g, Carbs: 14.8g, Fats: 29.0g",1. Wash and prep all ingredients. 2. Heat Oven and start cooking. 3. Combine everything and serve hot.,Eggs,39
2,Greek Salad,Breakfast,Gluten-Free,"bell pepper, egg, cheese, tofu, chicken","Air Fryer, Instant Pot","288 kcal, Protein: 35.5g, Carbs: 52.4g, Fats: 7.3g",1. Wash and prep all ingredients. 2. Heat Instant Pot and start cooking. 3. Combine everything and serve hot.,Shellfish,48
3,Chicken Stir-Fry,Dinner,Gluten-Free,"avocado, carrot, egg, onion, cucumber","Instant Pot, Stove","259 kcal, Protein: 26.0g, Carbs: 35.4g, Fats: 25.2g",1. Sauté ingredients on Stove. 2. Add seasoning and cook thoroughly. 3. Serve warm and enjoy.,"Soy, Shellfish",33
4,Pancakes,Dinner,Vegan,"tomato, carrot, onion, avocado, garlic","Stove, Grill","538 kcal, Protein: 34.5g, Carbs: 10.5g, Fats: 16.1g",1. Blend all ingredients using Stove. 2. Chill for 10 minutes. 3. Enjoy a refreshing meal.,Dairy,43
5,Lentil Soup,Breakfast,Gluten-Free,"rice, broccoli, bell pepper, milk, cheese","Grill, Air Fryer","519 kcal, Protein: 32.5g, Carbs: 29.3g, Fats: 27.5g",1. Boil water and add cheese. 2. Stir occasionally using Air Fryer. 3. Drain and plate beautifully.,"Gluten, Eggs",57
6,Mushroom Risotto,Dinner,Gluten-Free,"egg, beans, quinoa, bell pepper, avocado","Blender, Stove","476 kcal, Protein: 29.3g, Carbs: 30.4g, Fats: 29.1g",1. Blend all ingredients using Stove. 2. Chill for 10 minutes. 3. Enjoy a refreshing meal.,Soy,20
7,Mushroom Risotto,Lunch,Gluten-Free,"chicken, spinach, tofu, kale, tomato","Grill, Blender","535 kcal, Protein: 22.8g, Carbs: 52.0g, Fats: 28.7g",1. Sauté ingredients on Grill. 2. Add seasoning and cook thoroughly. 3. Serve warm and enjoy.,No Allergens,42
8,Falafel Wrap,Lunch,Gluten-Free,"chicken, mushroom, bell pepper, beans, onion","Blender, Microwave","622 kcal, Protein: 24.6g, Carbs: 48.2g, Fats: 34.8g",1. Sauté ingredients on Blender. 2. Add seasoning and cook thoroughly. 3. Serve warm and enjoy.,"Dairy, Soy",10
9,Chicken Stir-Fry,Breakfast,Paleo,"cheese, quinoa, egg, broccoli, kale","Oven, Microwave","510 kcal, Protein: 18.4g, Carbs: 35.6g, Fats: 16.5g",1. Sauté ingredients on Oven. 2. Add seasoning and cook thoroughly. 3. Serve warm and enjoy.,"Dairy, Shellfish",30
10,Falafel Wrap,Breakfast,Vegan,"garlic, kale, spinach, cucumber, quinoa","Grill, Instant Pot","210 kcal, Protein: 19.0g, Carbs: 31.6g, Fats: 8.1g",1. Mix all ingredients in a bowl. 2. Use Instant Pot to cook or blend. 3. Serve with your favorite topping.,Nuts,36
11,Greek Salad,Lunch,Gluten-Free,"chicken, kale, tomato, tofu, mushroom","Stove, Microwave","516 kcal, Protein: 15.2g, Carbs: 49.6g, Fats: 27.1g",1. Sauté ingredients on Stove. 2. Add seasoning and cook thoroughly. 3. Serve warm and enjoy.,Soy,60
12,Lentil Soup,Lunch,Paleo,"salmon, rice, chicken, tomato, milk","Grill, Air Fryer","212 kcal, Protein: 39.4g, Carbs: 63.5g, Fats: 9.8g",1. Wash and prep all ingredients. 2. Heat Air Fryer and start cooking. 3. Combine everything and serve hot.,"Soy, Nuts",45
13,Avocado Toast,Snack,Vegan,"bell pepper, salmon, carrot, tofu, avocado","Oven, Grill","696 kcal, Protein: 18.7g, Carbs: 19.9g, Fats: 30.3g",1. Wash and prep all ingredients. 2. Heat Grill and start cooking. 3. Combine everything and serve hot.,"Dairy, Soy",35
14,Tofu Curry,Lunch,Paleo,"garlic, beans, tofu, mushroom, spinach","Blender, Air Fryer","283 kcal, Protein: 30.0g, Carbs: 13.4g, Fats: 12.1g",1. Wash and prep all ingredients. 2. Heat Air Fryer and start cooking. 3. Combine everything and serve hot.,Shellfish,27
15,Turkey Sandwich,Lunch,Paleo,"cucumber, milk, spinach, chicken, carrot","Blender, Grill","293 kcal, Protein: 32.2g, Carbs: 61.1g, Fats: 2.1g",1. Boil water and add spinach. 2. Stir occasionally using Grill. 3. Drain and plate beautifully.,Shellfish,47
16,Oatmeal with Berries,Breakfast,Keto,"milk, avocado, egg, beans, chicken","Oven, Air Fryer","277 kcal, Protein: 20.2g, Carbs: 37.7g, Fats: 6.6g",1. Sauté ingredients on Oven. 2. Add seasoning and cook thoroughly. 3. Serve warm and enjoy.,Shellfish,59
17,Oatmeal with Berries,Dinner,Gluten-Free,"garlic, rice, cheese, mushroom, tofu","Air Fryer, Instant Pot","464 kcal, Protein: 16.1g, Carbs: 72.7g, Fats: 15.2g",1. Preheat the Air Fryer. 2. Add rice and cook until done. 3. Let it cool slightly before serving.,No Allergens,45
18,Beef Tacos,Snack,Gluten-Free,"beans, egg, garlic, rice, onion","Blender, Stove","404 kcal, Protein: 35.5g, Carbs: 51.1g, Fats: 31.2g",1. Mix all ingredients in a bowl. 2. Use Blender to cook or blend. 3. Serve with your favorite topping.,Dairy,58
19,Tofu Curry,Lunch,Vegan,"chicken, rice, broccoli, garlic, salmon","Blender, Instant Pot","244 kcal, Protein: 11.0g, Carbs: 20.2g, Fats: 11.9g",1. Blend all ingredients using Instant Pot. 2. Chill for 10 minutes. 3. Enjoy a refreshing meal.,"Nuts, Eggs",50
20,Turkey Sandwich,Lunch,Vegetarian,"spinach, chicken, beans, milk, cheese","Blender, Air Fryer","524 kcal, Protein: 30.1g, Carbs: 42.0g, Fats: 34.7g",1. Chop vegetables and prepare beans. 2. Cook using Blender. 3. Garnish before serving.,"Gluten, Shellfish",43
21,Falafel Wrap,Lunch,Gluten-Free,"avocado, carrot, egg, spinach, chicken","Microwave, Blender","393 kcal, Protein: 31.2g, Carbs: 77.9g, Fats: 16.7g",1. Chop vegetables and prepare egg. 2. Cook using Microwave. 3. Garnish before serving.,"Soy, Dairy",12
22,Spaghetti Carbonara,Dinner,Vegetarian,"mushroom, cheese, spinach, rice, milk","Instant Pot, Blender","412 kcal, Protein: 31.2g, Carbs: 19.7g, Fats: 31.2g",1. Sauté ingredients on Blender. 2. Add seasoning and cook thoroughly. 3. Serve warm and enjoy.,No Allergens,24
23,Turkey Sandwich,Lunch,Keto,"milk, cucumber, tofu, carrot, tomato","Stove, Microwave","390 kcal, Protein: 28.3g, Carbs: 38.0g, Fats: 2.7g",1. Blend all ingredients using Stove. 2. Chill for 10 minutes. 3. Enjoy a refreshing meal.,Soy,32
24,Pancakes,Lunch,Vegetarian,"tofu, cheese, avocado, beans, quinoa","Grill, Instant Pot","603 kcal, Protein: 18.9g, Carbs: 65.8g, Fats: 33.5g",1. Blend all ingredients using Grill. 2. Chill for 10 minutes. 3. Enjoy a refreshing meal.,No Allergens,48
25,Avocado Toast,Snack,Vegan,"kale, beans, cheese, salmon, egg","Air Fryer, Blender","306 kcal, Protein: 7.8g, Carbs: 75.5g, Fats: 2.8g",1. Chop vegetables and prepare egg. 2. Cook using Air Fryer. 3. Garnish before serving.,Soy,13
26,Vegan Quinoa Bowl,Breakfast,Gluten-Free,"quinoa, cucumber, mushroom, chicken, milk","Microwave, Grill","412 kcal, Protein: 11.0g, Carbs: 39.4g, Fats: 28.1g",1. Boil water and add cucumber. 2. Stir occasionally using Microwave. 3. Drain and plate beautifully.,"Gluten, Nuts",56
27,Avocado Toast,Breakfast,Keto,"avocado, tofu, cheese, carrot, rice","Stove, Grill","571 kcal, Protein: 26.5g, Carbs: 33.3g, Fats: 30.9g",1. Sauté ingredients on Grill. 2. Add seasoning and cook thoroughly. 3. Serve warm and enjoy.,Eggs,57
28,Chili Con Carne,Lunch,Keto,"egg, beans, kale, broccoli, rice","Air Fryer, Grill","176 kcal, Protein: 35.3g, Carbs: 62.1g, Fats: 16.8g",1. Chop vegetables and prepare kale. 2. Cook using Grill. 3. Garnish before serving.,"Soy, Dairy",42
29,Vegan Quinoa Bowl,Snack,Vegan,"salmon, cheese, cucumber, spinach, onion","Blender, Oven","475 kcal, Protein: 16.3g, Carbs: 50.0g, Fats: 13.6g",1. Sauté ingredients on Blender. 2. Add seasoning and cook thoroughly. 3. Serve warm and enjoy.,Nuts,55
30,Turkey Sandwich,Snack,Gluten-Free,"chicken, carrot, onion, spinach, mushroom","Oven, Stove","356 kcal, Protein: 10.3g, Carbs: 75.3g, Fats: 33.2g",1. Preheat the Oven. 2. Add chicken and cook until done. 3. Let it cool slightly before serving.,Gluten,33
31,Falafel Wrap,Dinner,Vegetarian,"avocado, onion, broccoli, beans, chicken","Grill, Microwave","533 kcal, Protein: 33.9g, Carbs: 44.7g, Fats: 15.1g",1. Chop vegetables and prepare onion. 2. Cook using Microwave. 3. Garnish before serving.,Gluten,16
32,Vegetable Stir-Fry,Lunch,Keto,"carrot, kale, cheese, avocado, bell pepper","Grill, Air Fryer","322 kcal, Protein: 14.8g, Carbs: 74.8g, Fats: 19.8g",1. Mix all ingredients in a bowl. 2. Use Grill to cook or blend. 3. Serve with your favorite topping.,"Dairy, Shellfish",49
33,Chili Con Carne,Lunch,Vegetarian,"onion, garlic, cucumber, chicken, carrot","Stove, Blender","503 kcal, Protein: 30.4g, Carbs: 43.6g, Fats: 23.3g",1. Boil water and add onion. 2. Stir occasionally using Blender. 3. Drain and plate beautifully.,Shellfish,34
34,Spaghetti Carbonara,Snack,Gluten-Free,"egg, broccoli, tofu, milk, salmon","Blender, Instant Pot","674 kcal, Protein: 14.3g, Carbs: 55.6g, Fats: 20.4g",1. Wash and prep all ingredients. 2. Heat Instant Pot and start cooking. 3. Combine everything and serve hot.,Dairy,30
35,Beef Tacos,Snack,Gluten-Free,"cheese, bell pepper, salmon, chicken, spinach","Blender, Instant Pot","381 kcal, Protein: 38.0g, Carbs: 69.5g, Fats: 9.9g",1. Blend all ingredients using Blender. 2. Chill for 10 minutes. 3. Enjoy a refreshing meal.,Shellfish,19
36,Grilled Salmon,Breakfast,Paleo,"broccoli, salmon, carrot, milk, egg","Oven, Instant Pot","222 kcal, Protein: 31.9g, Carbs: 22.9g, Fats: 11.0g",1. Chop vegetables and prepare carrot. 2. Cook using Instant Pot. 3. Garnish before serving.,Dairy,32
37,Spaghetti Carbonara,Lunch,Keto,"kale, garlic, cucumber, quinoa, onion","Blender, Stove","403 kcal, Protein: 14.4g, Carbs: 31.2g, Fats: 31.1g",1. Preheat the Stove. 2. Add cucumber and cook until done. 3. Let it cool slightly before serving.,Gluten,40
38,Oatmeal with Berries,Dinner,Vegan,"garlic, kale, beans, egg, mushroom","Grill, Air Fryer","452 kcal, Protein: 12.8g, Carbs: 19.5g, Fats: 11.3g",1. Boil water and add garlic. 2. Stir occasionally using Air Fryer. 3. Drain and plate beautifully.,"Dairy, Soy",17
39,Mushroom Risotto,Snack,Keto,"bell pepper, milk, cucumber, spinach, cheese","Grill, Blender","158 kcal, Protein: 28.9g, Carbs: 46.9g, Fats: 24.3g",1. Boil water and add bell pepper. 2. Stir occasionally using Blender. 3. Drain and plate beautifully.,Dairy,15
40,Falafel Wrap,Lunch,Vegetarian,"cheese, beans, milk, rice, cucumber","Air Fryer, Grill","419 kcal, Protein: 25.1g, Carbs: 65.3g, Fats: 5.5g",1. Blend all ingredients using Grill. 2. Chill for 10 minutes. 3. Enjoy a refreshing meal.,Soy,15
41,Turkey Sandwich,Breakfast,Keto,"spinach, tomato, milk, avocado, garlic","Air Fryer, Oven","593 kcal, Protein: 19.2g, Carbs: 54.5g, Fats: 15.1g",1. Mix all ingredients in a bowl. 2. Use Oven to cook or blend. 3. Serve with your favorite topping.,Dairy,52
42,Oatmeal with Berries,Snack,Vegetarian,"garlic, bell pepper, cucumber, avocado, tomato","Air Fryer, Stove","410 kcal, Protein: 7.4g, Carbs: 27.4g, Fats: 16.4g",1. Chop vegetables and prepare cucumber. 2. Cook using Stove. 3. Garnish before serving.,Dairy,46
43,Grilled Salmon,Snack,Vegetarian,"cheese, salmon, egg, quinoa, beans","Grill, Microwave","684 kcal, Protein: 15.3g, Carbs: 58.7g, Fats: 5.9g",1. Sauté ingredients on Grill. 2. Add seasoning and cook thoroughly. 3. Serve warm and enjoy.,Soy,56
44,Shrimp Fried Rice,Snack,Gluten-Free,"tomato, rice, garlic, kale, avocado","Grill, Oven","332 kcal, Protein: 20.0g, Carbs: 65.1g, Fats: 34.9g",1. Sauté ingredients on Oven. 2. Add seasoning and cook thoroughly. 3. Serve warm and enjoy.,No Allergens,41
45,Spaghetti Carbonara,Dinner,Vegan,"tofu, avocado, bell pepper, tomato, salmon","Stove, Instant Pot","397 kcal, Protein: 37.2g, Carbs: 54.0g, Fats: 22.9g",1. Chop vegetables and prepare tofu. 2. Cook using Instant Pot. 3. Garnish before serving.,Soy,28
46,Caesar Salad,Breakfast,Paleo,"mushroom, broccoli, salmon, milk, cucumber","Microwave, Air Fryer","686 kcal, Protein: 7.2g, Carbs: 35.3g, Fats: 7.8g",1. Blend all ingredients using Microwave. 2. Chill for 10 minutes. 3. Enjoy a refreshing meal.,Eggs,12
47,Mushroom Risotto,Dinner,Paleo,"carrot, garlic, cheese, chicken, broccoli","Instant Pot, Microwave","401 kcal, Protein: 11.3g, Carbs: 28.4g, Fats: 22.5g",1. Boil water and add cheese. 2. Stir occasionally using Microwave. 3. Drain and plate beautifully.,No Allergens,55
48,Avocado Toast,Snack,Vegan,"onion, mushroom, bell pepper, carrot, quinoa","Instant Pot, Grill","688 kcal, Protein: 6.5g, Carbs: 38.7g, Fats: 33.1g",1. Chop vegetables and prepare mushroom. 2. Cook using Grill. 3. Garnish before serving.,Nuts,35
49,Grilled Salmon,Breakfast,Vegetarian,"milk, mushroom, chicken, avocado, cucumber","Air Fryer, Blender","413 kcal, Protein: 5.3g, Carbs: 78.1g, Fats: 14.1g",1. Wash and prep all ingredients. 2. Heat Air Fryer and start cooking. 3. Combine everything and serve hot.,"Nuts, Shellfish",34
50,Smoothie Bowl,Breakfast,Vegan,"spinach, tofu, milk, rice, mushroom","Instant Pot, Grill","458 kcal, Protein: 31.1g, Carbs: 18.6g, Fats: 20.5g",1. Wash and prep all ingredients. 2. Heat Grill and start cooking. 3. Combine everything and serve hot.,Soy,40
51,Vegetable Stir-Fry,Breakfast,Vegetarian,"spinach, mushroom, tomato, quinoa, chicken","Grill, Air Fryer","596 kcal, Protein: 32.4g, Carbs: 62.1g, Fats: 18.6g",1. Boil water and add mushroom. 2. Stir occasionally using Air Fryer. 3. Drain and plate beautifully.,Nuts,35
52,Pancakes,Breakfast,Paleo,"spinach, avocado, carrot, milk, bell pepper","Blender, Microwave","607 kcal, Protein: 7.8g, Carbs: 71.6g, Fats: 15.1g",1. Blend all ingredients using Microwave. 2. Chill for 10 minutes. 3. Enjoy a refreshing meal.,"Shellfish, Dairy",35
53,Mushroom Risotto,Dinner,Gluten-Free,"onion, chicken, avocado, bell pepper, broccoli","Blender, Stove","184 kcal, Protein: 12.6g, Carbs: 49.3g, Fats: 24.5g",1. Sauté ingredients on Blender. 2. Add seasoning and cook thoroughly. 3. Serve warm and enjoy.,Gluten,40
54,Lentil Soup,Breakfast,Vegan,"bell pepper, salmon, tofu, beans, kale","Oven, Instant Pot","308 kcal, Protein: 25.4g, Carbs: 70.3g, Fats: 6.6g",1. Sauté ingredients on Oven. 2. Add seasoning and cook thoroughly. 3. Serve warm and enjoy.,Gluten,46
55,Beef Tacos,Snack,Vegetarian,"carrot, tofu, milk, salmon, egg","Microwave, Stove","401 kcal, Protein: 18.4g, Carbs: 38.5g, Fats: 30.3g",1. Boil water and add carrot. 2. Stir occasionally using Stove. 3. Drain and plate beautifully.,Soy,31
56,Spaghetti Carbonara,Dinner,Paleo,"milk, rice, beans, chicken, broccoli","Grill, Air Fryer","399 kcal, Protein: 22.1g, Carbs: 72.4g, Fats: 9.3g",1. Mix all ingredients in a bowl. 2. Use Grill to cook or blend. 3. Serve with your favorite topping.,No Allergens,52
57,Greek Salad,Lunch,Vegetarian,"tomato, broccoli, egg, onion, bell pepper","Air Fryer, Grill","625 kcal, Protein: 11.5g, Carbs: 47.1g, Fats: 9.0g",1. Preheat the Grill. 2. Add egg and cook until done. 3. Let it cool slightly before serving.,Eggs,50
58,Keto Chicken Salad,Lunch,Vegan,"carrot, milk, bell pepper, onion, cucumber","Grill, Stove","462 kcal, Protein: 14.4g, Carbs: 48.9g, Fats: 10.6g",1. Mix all ingredients in a bowl. 2. Use Grill to cook or blend. 3. Serve with your favorite topping.,Shellfish,19
59,Beef Tacos,Lunch,Paleo,"spinach, quinoa, tofu, rice, egg","Oven, Grill","295 kcal, Protein: 14.3g, Carbs: 68.2g, Fats: 30.6g",1. Chop vegetables and prepare egg. 2. Cook using Grill. 3. Garnish before serving.,"Dairy, Gluten",11
60,Grilled Salmon,Breakfast,Paleo,"rice, spinach, tofu, kale, salmon","Oven, Instant Pot","527 kcal, Protein: 32.1g, Carbs: 39.2g, Fats: 14.1g",1. Sauté ingredients on Oven. 2. Add seasoning and cook thoroughly. 3. Serve warm and enjoy.,Gluten,58
61,Chili Con Carne,Dinner,Gluten-Free,"rice, milk, chicken, carrot, mushroom","Air Fryer, Blender","328 kcal, Protein: 20.3g, Carbs: 10.9g, Fats: 3.7g",1. Mix all ingredients in a bowl. 2. Use Blender to cook or blend. 3. Serve with your favorite topping.,Dairy,44
62,Chili Con Carne,Lunch,Paleo,"carrot, chicken, bell pepper, cucumber, milk","Blender, Grill","286 kcal, Protein: 7.9g, Carbs: 17.9g, Fats: 13.3g",1. Boil water and add chicken. 2. Stir occasionally using Grill. 3. Drain and plate beautifully.,"Nuts, Shellfish",35
63,Lentil Soup,Snack,Gluten-Free,"spinach, cucumber, egg, beans, milk","Grill, Instant Pot","207 kcal, Protein: 38.6g, Carbs: 21.6g, Fats: 24.3g",1. Sauté ingredients on Instant Pot. 2. Add seasoning and cook thoroughly. 3. Serve warm and enjoy.,No Allergens,18
64,Pancakes,Snack,Keto,"carrot, beans, chicken, bell pepper, rice","Air Fryer, Stove","580 kcal, Protein: 36.4g, Carbs: 65.1g, Fats: 7.3g",1. Chop vegetables and prepare chicken. 2. Cook using Stove. 3. Garnish before serving.,Soy,42
65,Shrimp Fried Rice,Snack,Gluten-Free,"salmon, bell pepper, onion, egg, spinach","Microwave, Blender","176 kcal, Protein: 28.3g, Carbs: 42.1g, Fats: 19.3g",1. Mix all ingredients in a bowl. 2. Use Blender to cook or blend. 3. Serve with your favorite topping.,No Allergens,42
