id,recipe_name,meal_type,dietary_category,ingredients,equipment_needed,nutritional_information,instructions,allergens,prep_time_minutes
133,Greek Salad,Breakfast,Keto,"kale, beans, egg, salmon, onion","Air Fryer, Oven","356 kcal, Protein: 32.5g, Carbs: 25.7g, Fats: 28.8g",1. Chop vegetables and prepare salmon. 2. Cook using Oven. 3. Garnish before serving.,"Gluten, Nuts",14
134,Shrimp Fried Rice,Lunch,Keto,"tomato, tofu, rice, salmon, onion","Air Fryer, Microwave","654 kcal, Protein: 8.1g, Carbs: 30.7g, Fats: 28.5g",1. Sauté ingredients on Microwave. 2. Add seasoning and cook thoroughly. 3. Serve warm and enjoy.,Shellfish,53
135,Falafel Wrap,Breakfast,Gluten-Free,"tomato, beans, tofu, onion, spinach","Instant Pot, Grill","598 kcal, Protein: 9.1g, Carbs: 56.3g, Fats: 13.2g",1. Mix all ingredients in a bowl. 2. Use Grill to cook or blend. 3. Serve with your favorite topping.,"Shellfish, Gluten",43
136,Vegetable Stir-Fry,Dinner,Vegan,"garlic, onion, milk, bell pepper, mushroom","Grill, Microwave","411 kcal, Protein: 28.7g, Carbs: 57.9g, Fats: 23.9g",1. Blend all ingredients using Grill. 2. Chill for 10 minutes. 3. Enjoy a refreshing meal.,Dairy,30
137,Keto Chicken Salad,Dinner,Keto,"tofu, garlic, beans, avocado, egg","Oven, Grill","359 kcal, Protein: 22.0g, Carbs: 40.8g, Fats: 28.0g",1. Chop vegetables and prepare garlic. 2. Cook using Grill. 3. Garnish before serving.,"Eggs, Soy",57
138,Grilled Salmon,Dinner,Keto,"chicken, carrot, avocado, spinach, kale","Air Fryer, Oven","437 kcal, Protein: 33.9g, Carbs: 76.4g, Fats: 34.2g",1. Sauté ingredients on Oven. 2. Add seasoning and cook thoroughly. 3. Serve warm and enjoy.,"Shellfish, Dairy",21
139,Keto Chicken Salad,Lunch,Paleo,"tomato, avocado, cucumber, tofu, cheese","Microwave, Air Fryer","165 kcal, Protein: 8.4g, Carbs: 49.1g, Fats: 17.4g",1. Blend all ingredients using Microwave. 2. Chill for 10 minutes. 3. Enjoy a refreshing meal.,No Allergens,57
140,Tofu Curry,Dinner,Vegetarian,"quinoa, beans, avocado, egg, garlic","Blender, Microwave","498 kcal, Protein: 19.6g, Carbs: 16.2g, Fats: 30.1g",1. Chop vegetables and prepare egg. 2. Cook using Microwave. 3. Garnish before serving.,Gluten,22
141,Chicken Stir-Fry,Snack,Paleo,"milk, cucumber, spinach, quinoa, garlic","Instant Pot, Stove","199 kcal, Protein: 29.6g, Carbs: 58.8g, Fats: 14.4g",1. Preheat the Instant Pot. 2. Add cucumber and cook until done. 3. Let it cool slightly before serving.,"Dairy, Eggs",12
142,Chicken Stir-Fry,Breakfast,Gluten-Free,"mushroom, carrot, tomato, spinach, kale","Microwave, Instant Pot","171 kcal, Protein: 17.0g, Carbs: 27.8g, Fats: 18.6g",1. Boil water and add carrot. 2. Stir occasionally using Instant Pot. 3. Drain and plate beautifully.,Soy,24
143,Turkey Sandwich,Dinner,Vegetarian,"quinoa, milk, beans, salmon, rice","Microwave, Oven","580 kcal, Protein: 10.5g, Carbs: 54.1g, Fats: 15.7g",1. Chop vegetables and prepare quinoa. 2. Cook using Oven. 3. Garnish before serving.,Nuts,53
144,Vegan Quinoa Bowl,Lunch,Vegetarian,"egg, cucumber, kale, garlic, milk","Stove, Microwave","693 kcal, Protein: 33.0g, Carbs: 17.2g, Fats: 5.0g",1. Mix all ingredients in a bowl. 2. Use Microwave to cook or blend. 3. Serve with your favorite topping.,Gluten,51
145,Spaghetti Carbonara,Dinner,Paleo,"tofu, kale, rice, beans, carrot","Air Fryer, Grill","293 kcal, Protein: 10.1g, Carbs: 25.4g, Fats: 28.6g",1. Mix all ingredients in a bowl. 2. Use Grill to cook or blend. 3. Serve with your favorite topping.,Soy,17
146,Vegan Quinoa Bowl,Breakfast,Paleo,"cheese, mushroom, avocado, kale, garlic","Microwave, Air Fryer","675 kcal, Protein: 28.0g, Carbs: 21.1g, Fats: 6.3g",1. Wash and prep all ingredients. 2. Heat Microwave and start cooking. 3. Combine everything and serve hot.,Dairy,36
147,Shrimp Fried Rice,Breakfast,Keto,"avocado, kale, carrot, tofu, spinach","Instant Pot, Stove","303 kcal, Protein: 8.1g, Carbs: 41.4g, Fats: 29.8g",1. Mix all ingredients in a bowl. 2. Use Stove to cook or blend. 3. Serve with your favorite topping.,Gluten,44
148,Chili Con Carne,Breakfast,Paleo,"tomato, milk, egg, cucumber, garlic","Air Fryer, Microwave","508 kcal, Protein: 5.7g, Carbs: 56.1g, Fats: 19.7g",1. Wash and prep all ingredients. 2. Heat Air Fryer and start cooking. 3. Combine everything and serve hot.,Nuts,39
149,Caesar Salad,Lunch,Vegan,"onion, cheese, salmon, carrot, quinoa","Grill, Microwave","605 kcal, Protein: 34.0g, Carbs: 66.2g, Fats: 8.9g",1. Boil water and add cheese. 2. Stir occasionally using Grill. 3. Drain and plate beautifully.,"Gluten, Shellfish",58
150,Vegetable Stir-Fry,Lunch,Gluten-Free,"egg, quinoa, onion, spinach, cucumber","Grill, Stove","551 kcal, Protein: 18.1g, Carbs: 42.5g, Fats: 34.3g",1. Mix all ingredients in a bowl. 2. Use Stove to cook or blend. 3. Serve with your favorite topping.,Nuts,56
151,Vegan Quinoa Bowl,Snack,Vegetarian,"mushroom, egg, tofu, milk, carrot","Grill, Instant Pot","489 kcal, Protein: 7.3g, Carbs: 59.7g, Fats: 25.5g",1. Chop vegetables and prepare milk. 2. Cook using Instant Pot. 3. Garnish before serving.,Shellfish,60
152,Keto Chicken Salad,Breakfast,Paleo,"onion, mushroom, milk, quinoa, chicken","Instant Pot, Oven","356 kcal, Protein: 33.5g, Carbs: 66.4g, Fats: 10.7g",1. Boil water and add onion. 2. Stir occasionally using Oven. 3. Drain and plate beautifully.,No Allergens,14
153,Spaghetti Carbonara,Lunch,Gluten-Free,"milk, mushroom, avocado, spinach, garlic","Oven, Stove","533 kcal, Protein: 31.0g, Carbs: 23.9g, Fats: 19.6g",1. Mix all ingredients in a bowl. 2. Use Oven to cook or blend. 3. Serve with your favorite topping.,No Allergens,20
154,Pancakes,Lunch,Vegetarian,"chicken, milk, cucumber, onion, salmon","Stove, Grill","170 kcal, Protein: 20.8g, Carbs: 37.3g, Fats: 16.3g",1. Boil water and add cucumber. 2. Stir occasionally using Stove. 3. Drain and plate beautifully.,"Nuts, Dairy",14
155,Mushroom Risotto,Breakfast,Vegetarian,"tomato, rice, salmon, egg, mushroom","Stove, Instant Pot","342 kcal, Protein: 22.2g, Carbs: 55.8g, Fats: 9.6g",1. Blend all ingredients using Stove. 2. Chill for 10 minutes. 3. Enjoy a refreshing meal.,Nuts,56
156,Shrimp Fried Rice,Snack,Keto,"beans, broccoli, onion, quinoa, cucumber","Oven, Air Fryer","227 kcal, Protein: 30.4g, Carbs: 12.3g, Fats: 13.0g",1. Wash and prep all ingredients. 2. Heat Oven and start cooking. 3. Combine everything and serve hot.,Shellfish,48
157,Tofu Curry,Dinner,Paleo,"chicken, salmon, bell pepper, spinach, quinoa","Blender, Microwave","167 kcal, Protein: 20.9g, Carbs: 75.4g, Fats: 32.4g",1. Blend all ingredients using Blender. 2. Chill for 10 minutes. 3. Enjoy a refreshing meal.,Shellfish,36
158,Avocado Toast,Dinner,Keto,"cheese, milk, quinoa, beans, chicken","Blender, Stove","184 kcal, Protein: 8.8g, Carbs: 28.1g, Fats: 2.3g",1. Preheat the Stove. 2. Add milk and cook until done. 3. Let it cool slightly before serving.,"Dairy, Nuts",42
159,Greek Salad,Dinner,Paleo,"broccoli, garlic, cucumber, tomato, kale","Microwave, Stove","276 kcal, Protein: 6.6g, Carbs: 33.5g, Fats: 4.1g",1. Wash and prep all ingredients. 2. Heat Microwave and start cooking. 3. Combine everything and serve hot.,Dairy,46
160,Chicken Stir-Fry,Lunch,Keto,"tofu, cheese, garlic, rice, salmon","Stove, Air Fryer","349 kcal, Protein: 15.0g, Carbs: 13.2g, Fats: 18.7g",1. Wash and prep all ingredients. 2. Heat Air Fryer and start cooking. 3. Combine everything and serve hot.,Dairy,50
161,Chicken Stir-Fry,Dinner,Vegetarian,"tofu, egg, salmon, garlic, onion","Grill, Microwave","347 kcal, Protein: 38.8g, Carbs: 56.2g, Fats: 14.9g",1. Chop vegetables and prepare onion. 2. Cook using Microwave. 3. Garnish before serving.,Shellfish,35
162,Keto Chicken Salad,Lunch,Keto,"cheese, cucumber, spinach, carrot, avocado","Microwave, Grill","440 kcal, Protein: 31.5g, Carbs: 15.1g, Fats: 19.4g",1. Blend all ingredients using Grill. 2. Chill for 10 minutes. 3. Enjoy a refreshing meal.,Gluten,56
163,Chicken Stir-Fry,Snack,Paleo,"mushroom, tofu, avocado, salmon, spinach","Oven, Air Fryer","254 kcal, Protein: 23.9g, Carbs: 70.1g, Fats: 9.4g",1. Sauté ingredients on Air Fryer. 2. Add seasoning and cook thoroughly. 3. Serve warm and enjoy.,"Soy, Nuts",50
164,Falafel Wrap,Lunch,Gluten-Free,"garlic, broccoli, beans, bell pepper, kale","Oven, Instant Pot","573 kcal, Protein: 26.8g, Carbs: 54.7g, Fats: 14.6g",1. Wash and prep all ingredients. 2. Heat Instant Pot and start cooking. 3. Combine everything and serve hot.,Soy,15
165,Chicken Stir-Fry,Dinner,Gluten-Free,"cucumber, avocado, garlic, rice, mushroom","Grill, Instant Pot","622 kcal, Protein: 28.0g, Carbs: 72.1g, Fats: 4.8g",1. Preheat the Instant Pot. 2. Add rice and cook until done. 3. Let it cool slightly before serving.,"Shellfish, Eggs",17
166,Keto Chicken Salad,Snack,Vegetarian,"onion, bell pepper, cucumber, cheese, avocado","Instant Pot, Grill","653 kcal, Protein: 26.5g, Carbs: 49.8g, Fats: 31.2g",1. Blend all ingredients using Grill. 2. Chill for 10 minutes. 3. Enjoy a refreshing meal.,"Shellfish, Nuts",21
167,Beef Tacos,Breakfast,Vegan,"milk, tomato, rice, salmon, broccoli","Air Fryer, Blender","154 kcal, Protein: 24.6g, Carbs: 15.1g, Fats: 3.9g",1. Blend all ingredients using Blender. 2. Chill for 10 minutes. 3. Enjoy a refreshing meal.,"Eggs, Nuts",21
168,Vegetable Stir-Fry,Breakfast,Vegan,"quinoa, salmon, onion, tofu, bell pepper","Oven, Stove","252 kcal, Protein: 29.2g, Carbs: 48.6g, Fats: 15.3g",1. Chop vegetables and prepare salmon. 2. Cook using Stove. 3. Garnish before serving.,Dairy,14
169,Chicken Stir-Fry,Snack,Vegan,"cheese, beans, garlic, tofu, avocado","Stove, Oven","416 kcal, Protein: 12.7g, Carbs: 42.8g, Fats: 9.2g",1. Blend all ingredients using Oven. 2. Chill for 10 minutes. 3. Enjoy a refreshing meal.,Shellfish,43
170,Tofu Curry,Breakfast,Keto,"cucumber, egg, garlic, mushroom, bell pepper","Oven, Microwave","531 kcal, Protein: 12.1g, Carbs: 50.4g, Fats: 4.7g",1. Preheat the Microwave. 2. Add bell pepper and cook until done. 3. Let it cool slightly before serving.,Eggs,33
171,Mushroom Risotto,Dinner,Vegetarian,"bell pepper, avocado, spinach, onion, mushroom","Grill, Blender","341 kcal, Protein: 5.2g, Carbs: 74.2g, Fats: 13.3g",1. Sauté ingredients on Blender. 2. Add seasoning and cook thoroughly. 3. Serve warm and enjoy.,Shellfish,20
172,Shrimp Fried Rice,Snack,Vegetarian,"tomato, avocado, salmon, bell pepper, rice","Stove, Blender","686 kcal, Protein: 25.2g, Carbs: 38.8g, Fats: 30.3g",1. Chop vegetables and prepare bell pepper. 2. Cook using Stove. 3. Garnish before serving.,Dairy,24
173,Caesar Salad,Breakfast,Vegetarian,"spinach, broccoli, cheese, beans, cucumber","Stove, Blender","353 kcal, Protein: 9.0g, Carbs: 33.1g, Fats: 4.8g",1. Preheat the Stove. 2. Add broccoli and cook until done. 3. Let it cool slightly before serving.,Gluten,58
174,Shrimp Fried Rice,Breakfast,Paleo,"tomato, quinoa, onion, spinach, carrot","Microwave, Stove","319 kcal, Protein: 32.7g, Carbs: 54.9g, Fats: 21.1g",1. Wash and prep all ingredients. 2. Heat Stove and start cooking. 3. Combine everything and serve hot.,"Soy, Nuts",15
175,Chicken Stir-Fry,Dinner,Keto,"onion, tomato, broccoli, tofu, milk","Oven, Instant Pot","587 kcal, Protein: 17.0g, Carbs: 60.2g, Fats: 12.9g",1. Preheat the Instant Pot. 2. Add tomato and cook until done. 3. Let it cool slightly before serving.,No Allergens,28
176,Lentil Soup,Lunch,Vegetarian,"quinoa, milk, kale, avocado, tomato","Stove, Microwave","600 kcal, Protein: 26.2g, Carbs: 13.1g, Fats: 32.3g",1. Chop vegetables and prepare tomato. 2. Cook using Microwave. 3. Garnish before serving.,"Nuts, Dairy",18
177,Vegan Quinoa Bowl,Snack,Vegetarian,"tofu, mushroom, cucumber, carrot, avocado","Oven, Instant Pot","266 kcal, Protein: 12.5g, Carbs: 44.3g, Fats: 15.6g",1. Mix all ingredients in a bowl. 2. Use Instant Pot to cook or blend. 3. Serve with your favorite topping.,"Nuts, Gluten",18
178,Greek Salad,Snack,Keto,"rice, spinach, kale, salmon, tomato","Air Fryer, Blender","686 kcal, Protein: 37.5g, Carbs: 64.7g, Fats: 34.9g",1. Sauté ingredients on Blender. 2. Add seasoning and cook thoroughly. 3. Serve warm and enjoy.,Nuts,60
179,Oatmeal with Berries,Dinner,Vegan,"milk, quinoa, onion, tofu, spinach","Blender, Oven","603 kcal, Protein: 30.5g, Carbs: 62.3g, Fats: 11.0g",1. Preheat the Blender. 2. Add quinoa and cook until done. 3. Let it cool slightly before serving.,Nuts,54
180,Smoothie Bowl,Dinner,Gluten-Free,"cheese, cucumber, carrot, salmon, chicken","Oven, Grill","459 kcal, Protein: 36.5g, Carbs: 38.5g, Fats: 6.0g",1. Mix all ingredients in a bowl. 2. Use Grill to cook or blend. 3. Serve with your favorite topping.,Shellfish,37
181,Vegan Quinoa Bowl,Dinner,Vegan,"quinoa, milk, cucumber, bell pepper, kale","Instant Pot, Air Fryer","204 kcal, Protein: 14.8g, Carbs: 13.3g, Fats: 23.3g",1. Sauté ingredients on Instant Pot. 2. Add seasoning and cook thoroughly. 3. Serve warm and enjoy.,Dairy,31
182,Smoothie Bowl,Lunch,Keto,"cheese, kale, cucumber, broccoli, chicken","Stove, Blender","400 kcal, Protein: 36.7g, Carbs: 27.5g, Fats: 4.8g",1. Wash and prep all ingredients. 2. Heat Blender and start cooking. 3. Combine everything and serve hot.,Nuts,37
183,Tofu Curry,Breakfast,Keto,"milk, rice, onion, kale, tofu","Grill, Air Fryer","210 kcal, Protein: 18.6g, Carbs: 25.9g, Fats: 28.3g",1. Wash and prep all ingredients. 2. Heat Grill and start cooking. 3. Combine everything and serve hot.,Dairy,14
184,Chili Con Carne,Snack,Keto,"garlic, onion, mushroom, broccoli, milk","Air Fryer, Instant Pot","524 kcal, Protein: 16.3g, Carbs: 19.7g, Fats: 25.0g",1. Blend all ingredients using Instant Pot. 2. Chill for 10 minutes. 3. Enjoy a refreshing meal.,Nuts,45
185,Smoothie Bowl,Snack,Vegetarian,"quinoa, tofu, carrot, beans, egg","Instant Pot, Microwave","646 kcal, Protein: 37.5g, Carbs: 45.4g, Fats: 9.3g",1. Mix all ingredients in a bowl. 2. Use Microwave to cook or blend. 3. Serve with your favorite topping.,No Allergens,45
186,Pancakes,Dinner,Vegetarian,"spinach, bell pepper, carrot, tomato, garlic","Microwave, Stove","429 kcal, Protein: 8.7g, Carbs: 46.0g, Fats: 15.8g",1. Wash and prep all ingredients. 2. Heat Microwave and start cooking. 3. Combine everything and serve hot.,Gluten,34
187,Greek Salad,Snack,Vegetarian,"avocado, quinoa, mushroom, tofu, chicken","Air Fryer, Oven","447 kcal, Protein: 39.4g, Carbs: 13.1g, Fats: 9.5g",1. Sauté ingredients on Air Fryer. 2. Add seasoning and cook thoroughly. 3. Serve warm and enjoy.,"Gluten, Shellfish",13
188,Lentil Soup,Dinner,Paleo,"chicken, tomato, beans, tofu, milk","Instant Pot, Microwave","519 kcal, Protein: 10.3g, Carbs: 35.1g, Fats: 13.4g",1. Preheat the Microwave. 2. Add tomato and cook until done. 3. Let it cool slightly before serving.,Eggs,22
189,Pancakes,Breakfast,Gluten-Free,"tomato, milk, salmon, broccoli, onion","Stove, Microwave","271 kcal, Protein: 36.2g, Carbs: 19.8g, Fats: 11.2g",1. Sauté ingredients on Stove. 2. Add seasoning and cook thoroughly. 3. Serve warm and enjoy.,Gluten,31
190,Spaghetti Carbonara,Snack,Vegan,"cucumber, bell pepper, egg, broccoli, beans","Air Fryer, Oven","156 kcal, Protein: 16.7g, Carbs: 31.2g, Fats: 11.1g",1. Wash and prep all ingredients. 2. Heat Oven and start cooking. 3. Combine everything and serve hot.,"Nuts, Gluten",11
191,Beef Tacos,Lunch,Paleo,"cheese, beans, spinach, garlic, onion","Blender, Grill","361 kcal, Protein: 39.4g, Carbs: 67.4g, Fats: 12.7g",1. Blend all ingredients using Blender. 2. Chill for 10 minutes. 3. Enjoy a refreshing meal.,Soy,40
192,Pancakes,Snack,Paleo,"avocado, salmon, beans, onion, tofu","Instant Pot, Microwave","220 kcal, Protein: 22.4g, Carbs: 68.4g, Fats: 17.0g",1. Mix all ingredients in a bowl. 2. Use Instant Pot to cook or blend. 3. Serve with your favorite topping.,"Eggs, Gluten",51
193,Greek Salad,Breakfast,Vegetarian,"onion, chicken, kale, spinach, milk","Instant Pot, Grill","215 kcal, Protein: 37.3g, Carbs: 22.3g, Fats: 21.2g",1. Wash and prep all ingredients. 2. Heat Grill and start cooking. 3. Combine everything and serve hot.,Eggs,51
194,Keto Chicken Salad,Lunch,Vegan,"cucumber, cheese, tofu, chicken, salmon","Grill, Air Fryer","606 kcal, Protein: 22.0g, Carbs: 24.7g, Fats: 6.2g",1. Blend all ingredients using Grill. 2. Chill for 10 minutes. 3. Enjoy a refreshing meal.,Dairy,53
195,Grilled Salmon,Breakfast,Keto,"milk, mushroom, bell pepper, beans, carrot","Grill, Air Fryer","395 kcal, Protein: 22.7g, Carbs: 43.6g, Fats: 4.2g",1. Sauté ingredients on Grill. 2. Add seasoning and cook thoroughly. 3. Serve warm and enjoy.,Eggs,28
196,Caesar Salad,Lunch,Vegetarian,"rice, tomato, broccoli, milk, salmon","Instant Pot, Microwave","226 kcal, Protein: 24.7g, Carbs: 52.8g, Fats: 13.4g",1. Blend all ingredients using Instant Pot. 2. Chill for 10 minutes. 3. Enjoy a refreshing meal.,"Nuts, Gluten",10
197,Oatmeal with Berries,Dinner,Vegetarian,"spinach, salmon, tomato, tofu, avocado","Oven, Blender","540 kcal, Protein: 8.2g, Carbs: 44.7g, Fats: 24.2g",1. Mix all ingredients in a bowl. 2. Use Blender to cook or blend. 3. Serve with your favorite topping.,Shellfish,17
198,Chicken Stir-Fry,Lunch,Keto,"tofu, onion, chicken, milk, rice","Blender, Instant Pot","274 kcal, Protein: 38.5g, Carbs: 70.7g, Fats: 8.3g",1. Boil water and add milk. 2. Stir occasionally using Blender. 3. Drain and plate beautifully.,Dairy,40
199,Pancakes,Dinner,Vegetarian,"onion, rice, bell pepper, beans, salmon","Instant Pot, Blender","664 kcal, Protein: 15.4g, Carbs: 22.2g, Fats: 4.5g",1. Mix all ingredients in a bowl. 2. Use Instant Pot to cook or blend. 3. Serve with your favorite topping.,Soy,17
